year,month,day,prectotcorr,ps,t2m,t2m_max,t2m_min,rh2m,ws2m,wd2m,allsky_sfc_sw_dwn
2020,1,1,0.05,99.39,26.19,28.33,24.18,76.01,1.11,68.8,17.47
2020,1,2,0.01,99.48,26.8,30.47,23.77,73.18,1.44,334.5,16.14
2020,1,3,0.0,99.43,26.8,30.66,24.01,75.41,2.26,335.9,18.79
2020,1,4,0.0,99.34,25.75,29.67,23.03,75.66,2.42,334.0,19.45
2020,1,5,0.0,99.25,25.42,29.8,21.46,73.99,1.82,323.3,20.47
2020,1,6,0.0,99.34,26.85,30.76,23.95,73.17,1.32,288.9,20.08
2020,1,7,0.0,99.35,27.36,31.72,24.29,70.15,1.4,275.3,20.5
2020,1,8,0.01,99.34,26.61,30.55,23.53,75.22,1.42,314.5,18.48
2020,1,9,0.0,99.32,26.73,30.9,23.76,76.11,1.96,330.0,18.51
2020,1,10,0.0,99.27,26.87,31.03,23.35,73.31,1.74,269.3,16.2
2020,1,11,0.0,99.34,27.05,31.7,23.33,67.6,1.36,33.1,19.1
2020,1,12,0.0,99.33,26.23,31.42,22.04,63.27,1.97,83.5,21.28
2020,1,13,0.0,99.25,25.97,30.78,21.78,66.6,1.82,323.1,19.09
2020,1,14,0.0,99.22,25.68,29.91,22.24,73.77,1.94,324.2,18.95
2020,1,15,0.0,99.22,25.92,30.28,22.51,74.15,1.89,323.1,18.57
2020,1,16,0.08,99.25,25.62,29.94,22.26,71.08,2.35,335.4,16.76
2020,1,17,0.02,99.28,25.46,29.82,22.04,70.62,2.54,333.1,19.23
2020,1,18,0.0,99.24,26.21,31.32,22.02,69.98,1.83,323.2,20.12
2020,1,19,0.03,99.26,27.25,31.69,23.37,71.8,1.59,319.6,19.55
2020,1,20,0.1,99.34,27.52,31.96,24.44,71.21,1.58,256.5,19.24
2020,1,21,0.03,99.38,27.5,32.38,23.55,65.53,1.47,15.5,18.46
2020,1,22,0.0,99.37,27.2,33.16,21.87,59.06,1.71,78.8,21.67
