year,month,day,prectotcorr,ps,t2m,t2m_max,t2m_min,rh2m,ws2m,wd2m,allsky_sfc_sw_dwn
2000,1,1,0.0,99.92,27.28,31.17,24.1,51.16,1.46,9.1,14.37
2000,1,2,0.0,99.49,27.52,32.38,23.54,52.98,1.76,54.7,13.06
2000,1,3,0.0,99.41,28.28,32.49,24.84,52.96,1.67,77.1,13.8
2000,1,4,0.0,99.54,29.08,33.56,25.41,57.42,1.46,84.1,15.01
2000,1,5,0.0,99.74,29.62,34.08,25.97,54.98,1.6,52.6,15.88
2000,1,6,0.0,99.52,29.76,34.42,25.95,54.84,1.86,62.8,14.59
2000,1,7,0.0,99.64,27.73,31.61,24.56,50.82,1.34,14.8,14.87
2000,1,8,0.0,99.51,28.64,32.61,25.39,53.17,1.66,88.4,14.47
2000,1,9,0.0,100.06,28.39,32.02,25.42,47.4,0.85,15.3,13.98
2000,1,10,0.0,99.87,28.76,32.44,25.75,52.24,1.02,21.1,14.39
2000,1,11,3.57,99.46,29.7,33.55,26.55,54.46,1.87,28.3,14.15
2000,1,12,0.0,99.65,28.98,33.06,25.64,48.5,1.2,25.3,15.68
2000,1,13,0.0,99.36,29.49,33.59,26.14,51.17,1.1,7.4,16.0
2000,1,14,0.0,99.56,30.44,35.44,26.35,56.12,1.19,32.1,14.94
2000,1,15,0.0,99.49,27.81,32.07,24.32,51.9,1.03,82.8,14.12
2000,1,16,0.0,99.73,28.59,32.98,25.0,53.75,1.23,22.4,12.41
2000,1,17,0.0,99.43,29.33,33.49,25.92,58.7,0.9,23.7,13.85
2000,1,18,0.0,99.9,29.13,32.89,26.05,50.73,1.08,79.5,15.42
2000,1,19,0.0,99.59,29.68,33.89,26.24,54.39,1.33,344.3,14.63
2000,1,20,0.0,99.44,28.69,32.37,25.68,51.49,1.9,62.8,14.83
2000,1,21,0.0,99.61,29.11,33.18,25.78,55.11,1.28,34.0,13.28
2000,1,22,0.0,99.73,28.44,32.74,24.92,51.89,0.64,53.8,14.79
2000,1,23,0.0,99.69,29.72,33.68,26.48,54.97,1.68,48.6,16.15
2000,1,24,0.0,99.63,29.01,33.19,25.59,55.86,1.61,78.9,13.15
2000,1,25,0.0,99.76,29.97,33.93,26.73,51.44,1.0,8.4,10.86
2000,1,26,0.0,99.75,29.98,33.8,26.85,54.97,1.6,2.6,13.83
2000,1,27,0.0,99.75,28.1,32.36,24.62,47.21,1.25,50.2,15.69
2000,1,28,0.0,99.55,30.09,34.5,26.48,52.38,1.85,8.6,14.34
2000,1,29,0.0,99.55,29.65,34.06,26.04,55.68,2.21,62.9,16.45
2000,1,30,9.97,99.31,28.49,32.55,25.17,64.17,1.45,52.4,15.83
2000,1,31,0.0,99.51,29.59,33.12,26.71,48.49,1.59,49.6,13.91
2000,2,1,0.0,99.62,28.64,32.79,25.25,48.87,1.91,21.3,16.7
2000,2,2,0.0,99.59,29.95,34.42,26.29,50.56,1.67,39.2,16.83
2000,2,3,0.0,99.89,29.06,32.82,25.98,52.49,1.48,33.6,15.98
2000,2,4,0.0,99.5,29.61,34.22,25.84,50.22,1.26,87.8,15.53
2000,2,5,0.0,99.42,28.54,32.1,25.63,54.54,0.87,32.4,17.17
2000,2,6,0.0,99.71,29.17,33.4,25.71,51.25,1.2,21.6,17.92
2000,2,7,0.0,99.61,29.59,33.94,26.03,50.05,1.22,68.8,15.92
2000,2,8,0.0,99.47,29.18,33.71,25.48,49.13,1.32,13.8,16.37
2000,2,9,0.0,99.73,29.35,33.6,25.87,52.21,0.61,91.4,16.99
2000,2,10,0.0,99.54,28.41,32.44,25.11,53.34,1.17,355.7,18.34
2000,2,11,0.0,99.86,29.15,33.32,25.74,54.6,1.21,90.5,17.8
2000,2,12,1.69,99.37,28.33,32.26,25.11,51.92,0.78,40.6,15.55
2000,2,13,0.0,99.48,28.9,32.47,25.98,53.4,1.46,28.9,17.88
2000,2,14,0.0,99.61,28.56,32.61,25.24,56.49,1.66,89.3,13.93
2000,2,15,0.0,99.83,28.75,33.01,25.27,55.53,1.31,33.1,17.13
2000,2,16,0.0,99.45,27.65,32.05,24.05,50.92,0.84,11.6,19.97
2000,2,17,0.0,99.65,28.88,32.87,25.62,54.01,1.27,38.8,15.12
2000,2,18,0.0,99.37,28.77,33.3,25.07,51.6,1.59,58.2,16.49
2000,2,19,0.0,99.74,27.77,31.84,24.44,50.89,1.58,38.5,16.16
2000,2,20,0.0,99.46,29.05,33.3,25.57,49.52,1.3,32.5,16.41
2000,2,21,0.0,99.69,29.37,33.69,25.83,57.11,1.47,32.0,18.02
2000,2,22,0.0,99.69,28.99,33.12,25.61,50.18,1.08,57.1,17.99
2000,2,23,0.0,99.25,29.3,33.39,25.95,51.72,1.6,8.3,17.83
2000,2,24,0.0,99.61,28.36,32.91,24.64,46.84,1.16,53.5,17.35
2000,2,25,0.0,99.48,28.56,32.21,25.57,55.27,1.03,83.7,18.08
2000,2,26,0.0,99.66,28.74,32.87,25.36,52.11,1.68,80.8,16.54
2000,2,27,0.0,99.41,28.77,32.38,25.82,55.55,1.37,82.5,18.01
2000,2,28,5.82,99.31,26.76,30.38,23.8,56.43,1.36,17.0,17.45
2000,2,29,0.0,99.78,27.97,32.07,24.62,52.63,1.53,88.3,16.58
2000,3,1,0.0,99.76,29.29,33.26,26.04,54.63,1.3,37.4,17.43
2000,3,2,0.0,99.38,28.02,32.7,24.19,52.27,0.98,53.1,17.67
2000,3,3,0.0,99.88,28.37,32.41,25.06,47.17,1.25,42.1,17.47
2000,3,4,0.0,99.09,28.47,32.89,24.85,53.09,0.77,23.8,17.08
2000,3,5,0.0,99.59,27.54,31.66,24.17,55.49,1.78,46.4,16.84
2000,3,6,0.0,99.32,29.56,33.34,26.47,49.98,0.92,64.3,16.65
2000,3,7,0.0,99.61,28.4,32.02,25.44,46.53,2.08,58.2,17.6
2000,3,8,0.0,99.5,27.79,31.52,24.74,50.45,1.04,53.6,18.15
2000,3,9,0.0,99.36,28.81,33.0,25.38,53.42,1.58,19.8,19.89
2000,3,10,0.0,99.41,28.12,32.66,24.41,49.23,2.06,38.5,16.07
